Gene,Mean_Control,Mean_Disease,Std_Control,Std_Disease,Log2FC,T_Statistic,P_Value,Adj_P_Value,Regulation
TCL1A,36.61077861097561,82.86100969069767,31.703033751952514,58.25212297714848,1.178402949198007,6.725870750099512,1.1641293586904033e-10,1.049184694084576e-09,Upregulated
HIF3A,79.5379636197561,178.00453828906421,132.6304580241249,143.51349483057365,1.1621884591953686,5.236986286384546,3.445112186705216e-07,7.790439040641723e-07,Upregulated
FLJ33360,79.09046129268293,124.87347813023257,54.12996557481826,63.71145730045989,0.6588847937985909,5.611506191831394,5.274146500540759e-08,1.414293109133571e-07,Upregulated
NEUROG2,14.709727269512195,229.8759964534883,19.79810855786704,299.0673793437143,3.965921626838348,6.501466824657919,4.237959912534289e-10,2.6193223481928994e-09,Upregulated
KIAA1598,3184.644446707317,5320.80927514535,3553.0853253088885,4159.902738660642,0.7405131989240253,4.00456387414537,8.179775279270742e-05,0.0001314053183178854,Upregulated
PEX10,219.09559385792681,289.3951977188953,245.53371884212635,350.86770300073607,0.40147891097231075,1.6329264463833926,0.10373327732221826,0.11974933144835813,Not Significant
MAP6D1,243.82140996788615,1704.9817401821701,123.24239234764563,2176.460425740074,2.805854497940243,6.0683978547181034,4.714615679286753e-09,1.7434086467071715e-08,Upregulated
SMAD4,171.88614270153658,564.9094465238372,130.2206221239499,463.122853253728,1.716560545660962,7.536937834833116,8.656482349981264e-13,3.768020356108673e-11,Upregulated
UNC13C,423.2061157742074,527.10268968469,294.40914935573966,519.1986389882921,0.31672290582826973,1.6863192059873635,0.09297192214496437,0.10796600090600025,Not Significant
IPP,95.80540591817072,266.07850999186047,96.4812373540154,225.15676552884415,1.4736633894588567,6.561564054498091,3.006879734099932e-10,2.0062800039974916e-09,Upregulated
DCLRE1A,124.86622602439026,188.9348007639535,107.64500548563711,155.32155687202646,0.5975012371135218,3.3678763363664777,0.0008760216988119848,0.0012550679408413828,Upregulated
C7orf13,109.13146535000001,142.85471220639536,109.29989625674914,95.73493725773031,0.3884783781238412,2.505548008576946,0.012857698229510129,0.016356614075282213,Not Significant
CPA6,15.076958062987803,59.83094169476744,26.114041563536723,62.11571426111754,1.9884748183571082,6.260773440023195,1.6397011800861229e-09,7.435888760463088e-09,Upregulated
RASL11B,238.34551712012194,296.36012768895347,207.440401247465,261.9746412591146,0.31429568452320117,1.7589948682418626,0.07979200891611708,0.09331765924676587,Not Significant
RASD1,2942.4370189024394,2721.765407139535,2427.0589366942963,1460.6399044173068,-0.11246877157312082,-0.8996105151984822,0.36918639139769793,0.39727579701067445,Not Significant
NR2E3,43.71734018719513,98.75767908817829,75.25070207458424,97.4243674978567,1.1756689117382177,4.512571525013102,9.831978218931132e-06,1.766098857485176e-05,Upregulated
DES,45.23884354048781,97.96789312034883,49.30360583663922,76.45195723408968,1.1147298005464534,5.702568799074136,3.294687119051975e-08,9.328316020470555e-08,Upregulated
GPR27,595.1636277499999,446.2783676540698,491.78430421899105,246.01283783906007,-0.4153416761203923,-3.218735998752064,0.0014564601922487572,0.0020408667144350408,Not Significant
NBEAL2,52.38634394451218,129.59560722441861,64.12898822368487,107.95881582990964,1.306737725805781,5.988337238406322,7.2676676264688276e-09,2.5268447730025773e-08,Upregulated
GH1,22.736507467682927,67.41227765348837,33.09611916770052,57.151046769248474,1.5679586595022454,6.5688635707004845,2.8837059478691793e-10,1.9474748629039113e-09,Upregulated
MYBPC3,78.94898475609756,104.81069546453489,111.64654739057714,87.67144471052319,0.40878881705448566,2.006745586184418,0.04584497511524189,0.05525256578421972,Not Significant
GEMIN7,87.5402961113821,104.80868885213178,50.39610380391773,57.547401308862085,0.2597364397573956,2.324831705604413,0.02087598326035384,0.025988468956767024,Not Significant
BAAT,53.80714331219511,95.44595668546512,56.26676303451547,82.54757172365142,0.8268746717625757,4.131008332178788,4.917410716988939e-05,8.077795864163769e-05,Upregulated
SYNGR1,460.93189698658546,543.6787371266472,286.3774234345401,304.46230353931304,0.23820032294266474,2.0638141775922723,0.04005925082452004,0.04854078794192085,Not Significant
LHX4,34.83240393329268,91.94108226899226,37.172890257799224,71.65630608826893,1.4002538796145554,6.789695583157489,8.01883366659834e-11,8.152480894374979e-10,Upregulated
ZNF100,70.38996003292684,107.46819074215117,59.747133466611764,54.077616489527266,0.6104610598080676,4.93713652786904,1.4436879448290603e-06,2.9311299283053553e-06,Upregulated
PANK1,389.04586350000005,298.5230620496124,407.4154849328681,124.91754392089597,-0.38209672642023806,-2.667595117534574,0.00813475223737816,0.010561523799454636,Not Significant
KCMF1,713.8000063963415,523.3908979327906,543.7786088932618,491.526658253094,-0.44763034371279786,-2.788067543718209,0.005706564376536286,0.007526826495060518,Not Significant
TXK,31.81537889439024,71.96952881976743,35.9827444177608,64.23878002010112,1.1776366108181744,5.275955278799691,2.846622171453415e-07,6.532560376942949e-07,Upregulated
RNF4,718.9807544268293,369.5889864671512,614.5938224116834,133.84432383369324,-0.9600294904671763,-7.123868145908022,1.0976833006065421e-11,2.2289358063466538e-10,Downregulated
SYT13,2440.335992587195,1320.888354963372,1376.5564330094182,1047.6635002641353,-0.8855707636299053,-7.169164211827146,8.344342620794472e-12,1.8595929757202184e-10,Downregulated
BFAR,166.10251389878047,367.97719948372094,127.22227228015294,228.27507344051443,1.1475377040731287,7.46919422904636,1.3208544861988618e-12,5.030645284238609e-11,Upregulated
MYO1F,79.9416537402439,156.1745606581395,72.2114310771877,88.36406392345373,0.9661313393567488,6.802050105459923,7.458630015082145e-11,7.794537692547027e-10,Upregulated
TSPAN33,231.994603902439,616.5553962238372,147.54940730157298,563.6281242122607,1.410135395631693,6.074237454228604,4.567401393191792e-09,1.699018971399009e-08,Upregulated
ZNRF4,54.897519528048775,94.55406660988372,58.90959085650817,58.84496717432085,0.7843875211994639,5.02003251904826,9.776748896395989e-07,2.038839665357591e-06,Upregulated
HBBP1,24.706678475609756,69.68756431686046,27.318002936078454,65.2408592943449,1.4959624716738331,5.992944900988095,7.089663562335337e-09,2.4718283321655217e-08,Upregulated
HSD17B2,15.662717824390242,59.121732174418604,31.0434148328746,62.12993322913214,1.9162862600045707,5.983629831293648,7.454038223374528e-09,2.5856518164576553e-08,Upregulated
