Gene,Mean_Control,Mean_Disease,Std_Control,Std_Disease,Log2FC,T_Statistic,P_Value,Adj_P_Value,Regulation
HIF3A,32.68263888888888,18.041282051282053,28.741799682329933,8.92522688981385,-0.8571867900715507,-2.969850732077787,0.004255671041033518,0.06984440681409891,Not Significant
NEUROG2,3.97,3.3284615384615384,2.92087390139083,1.6972183720515015,-0.25421348645030506,-1.10463256093688,0.273657031679068,0.6323260015631055,Not Significant
TCL1A,31.376458333333332,46.062564102564096,16.050606955824517,41.219304302713915,0.5538975474346747,1.6652526341639977,0.10099074833426358,0.40091200034347796,Not Significant
PEX10,53.43333333333334,54.72358974358974,23.932729121193134,28.219232172513266,0.03442221461366619,0.18637717804395473,0.8527674300234949,0.9573180344519922,Not Significant
KIAA1598,241.79416666666668,261.18102564102566,171.32621261707195,152.19272274591552,0.11127020875785831,0.46798740351454493,0.6414614112722442,0.8671187133065299,Not Significant
SRRT,224.818,220.0699487179487,88.64066378852071,77.92493971493496,-0.030795256887405777,-0.22283481614428155,0.8244085553245771,0.9483259532906341,Not Significant
MAP6D1,35.82875,30.695897435897432,21.289489384974615,11.5515245813246,-0.22306512883476,-1.2413454515455262,0.2192305280678982,0.576648092757641,Not Significant
SMAD4,124.29599999999999,109.76969230769231,30.451915853201005,32.191831335681094,-0.17929855589307966,-1.7748590357418907,0.0809105463709009,0.3579397820630853,Not Significant
SEPT6,87.5645,105.11951282051282,57.34878590276989,46.839723960865676,0.2636097405085555,1.325302341433674,0.19001349734940062,0.5437730991983869,Not Significant
TMEM206,62.30458333333333,69.44987179487178,20.14754505040182,16.539936536789543,0.15663135206048645,1.531327443604055,0.13085849850526193,0.45628292241966334,Not Significant
IPP,46.55141666666666,58.55066666666667,10.99243035166618,17.201324822499075,0.33085417338580625,3.0504853495714737,0.003378920247326763,0.060934542973789106,Not Significant
MIR6732 /// ZC3H12A,212.98291666666668,45.9897435897436,299.4727546652206,32.265075096536734,-2.211329061574833,-3.46724873671763,0.0009696071243612642,0.028798317256565634,Downregulated
DCLRE1A,37.86541666666667,41.251538461538466,29.168068451821505,22.879195506934558,0.12356399371797895,0.5131694297712595,0.6096864137077354,0.8517909154866122,Not Significant
RASL11B,41.865833333333335,52.96346153846154,22.11385001122239,33.09928290990301,0.3392168531822455,1.4528526543142193,0.1513897037602813,0.4912441407731577,Not Significant
NR2E3,14.987291666666666,13.600128205128204,5.971642585763271,5.230222206105221,-0.14010963027411455,-0.9683667888826847,0.3366851348315988,0.6895130163142889,Not Significant
DES,125.43395833333335,120.64397435897435,291.4511945680993,369.3463288118824,-0.056171659550959284,-0.05397495360772655,0.957131504630415,0.9897193791185966,Not Significant
GPR27,68.50854166666666,67.05884615384616,57.18493176184513,46.54394822527157,-0.030855760064640154,-0.10995698230760302,0.9128044441646792,0.9772405871006883,Not Significant
NBEAL2,24.521875000000005,31.018076923076922,15.826581095031509,16.24640464741696,0.33902762790019986,1.5562787772269167,0.12481528148211037,0.445637397937449,Not Significant
GH1,5.7840625,5.9242307692307685,3.577194432344079,3.3526632752856935,0.03453879772914452,0.15710121740515345,0.8756839197307518,0.9637714655951347,Not Significant
LINC00837,7.43875,4.3910256410256405,8.393781503874317,5.189496880020865,-0.7603676659167159,-1.784389794670351,0.07933351975667664,0.3545610183569725,Not Significant
MYBPC3,34.20583333333334,31.311538461538465,21.733095763127615,15.771264098196465,-0.1275440837111375,-0.6113119739286677,0.5432645716763497,0.818614433571562,Not Significant
GEMIN7,39.79847222222222,41.965726495726486,19.93704671870759,20.195843298058097,0.0764966345487237,0.4156334659537269,0.6791367491460595,0.8854459931226119,Not Significant
HSD3BP1 /// HSD3BP1,5.124583333333334,5.09923076923077,4.772706805746943,5.300370585164869,-0.0071536785393601756,-0.019131712858855534,0.9847984744896301,0.9967719899130053,Not Significant
BAAT,15.080833333333336,12.054871794871795,20.31595152169556,9.5990901081396,-0.32307583175184656,-0.7991311560896113,0.42731508963582987,0.7566528409284417,Not Significant
FLRT2 /// LOC100506718,186.136875,288.6411538461539,154.59781141099847,132.81816959396593,0.6329103668692101,2.7937311011261183,0.006952698494967642,0.09176339859324968,Not Significant
SYNGR1,45.0061111111111,52.325042735042736,18.20307559261884,15.591736019082962,0.21737619141922546,1.6969326672821903,0.09480686412323967,0.3873441520412305,Not Significant
IGHD3-16 /// IGHD3-16 /// IGHG1 /// SKAP2,5.402083333333334,6.251282051282051,2.865296068117746,5.183123006698192,0.2105999290357172,0.735029872379067,0.4651378710305791,0.778237090918679,Not Significant
KCMF1,379.5551041666667,419.40782051282054,168.22006615216472,174.65006201234027,0.14404404913902627,0.891777878384296,0.3760162965638452,0.7201552334351616,Not Significant
RNF4,296.08833333333337,380.4325641025642,97.29130488279567,138.15538789268652,0.3616120167893287,2.6147458481880563,0.011235095030936735,0.1198439694894317,Not Significant
SYT13,52.88770833333333,50.16320512820514,38.594278354360256,37.021700526198856,-0.07630145141176854,-0.27913155552470786,0.7810880636619086,0.9314827299827079,Not Significant
TXK,17.085416666666664,17.275897435897438,13.031550336267236,14.534830710354953,0.015994294088465512,0.05249210274993684,0.9583081138613029,0.9899046216865516,Not Significant
BFAR,173.92,179.71641025641026,32.31345378711743,49.60494757195833,0.04729803714344928,0.509020252389852,0.6125743823503068,0.852522182698131,Not Significant
MYO1F,184.56000000000003,289.72153846153844,118.98157405757158,175.16712455220198,0.650574194872691,2.592189876894682,0.011918899581015293,0.12441959110684804,Not Significant
ZNRF4,24.342916666666667,20.961282051282048,19.87387196233694,17.41953836168293,-0.21576551648429332,-0.7090338095957042,0.48100469069595136,0.7877821612646367,Not Significant
HBBP1,26.506666666666664,32.1876923076923,13.220788855851774,20.862982006861422,0.2801442845419567,1.1927400462379725,0.23759011527885324,0.5933167790084445,Not Significant
RPS10P2 /// RPS10P2,67.00583333333333,82.79948717948717,54.67304915242233,48.04539695070847,0.3053310276369899,1.2019944795597224,0.23401123703174506,0.5888404149104515,Not Significant
HSD17B2,6.334166666666667,7.148461538461538,6.643445227647596,5.181613007580157,0.1744520148998482,0.543364859724934,0.5888588617119966,0.8413164651941919,Not Significant
EPS15P1 /// EPS15P1,14.281666666666666,7.82846153846154,22.57343526604103,12.300366177360981,-0.867280368581021,-1.4698432043664804,0.14674339420794036,0.48307220170633985,Not Significant
VARS,51.432291666666664,43.017051282051284,21.937110704048212,15.167611559449748,-0.2577603151841685,-1.7999082577560666,0.0768205728215857,0.34804895798985275,Not Significant
DOT1L,29.648055555555555,24.50940170940171,32.652055145633554,29.026857263835584,-0.2745920205049065,-0.6505917339254256,0.5177531581669382,0.8058656627997355,Not Significant
FYCO1,418.90375,280.76461538461535,649.7054013304298,327.6056793784753,-0.577255979700407,-1.119988174908411,0.26710924351539805,0.6255260285520021,Not Significant
SLC26A1,20.902916666666666,17.225555555555555,10.211168429146872,8.03877042958021,-0.2791390145151573,-1.589015878196199,0.11722693287903496,0.4323357104619912,Not Significant
CEP97,38.599444444444444,33.712564102564095,23.874922883081904,20.264367547070673,-0.19528830571913755,-0.8681836595530299,0.3886966540850782,0.7303880514498631,Not Significant
WWOX,109.86791666666666,119.62584615384614,46.025732724042804,49.35037542447993,0.12275790244414618,0.7815654984615437,0.43749300957584464,0.7640714233227209,Not Significant
IGF2-AS,6.503333333333333,7.220769230769229,4.5587027775994295,4.654516982467781,0.15095112580498396,0.5987398546637063,0.5515634077300093,0.822442463924265,Not Significant
